date,btc_usd,eth_usd,sol_usd,sys_usd,btc_24h,eth_24h,sol_24h,sys_24h
2026-03-23,71114,2154.55,91.28,0.01156432,3.55,3.67,4.56,7.17
2026-03-24,70893,2151.5,91.38,0.01131736,4.37,4.79,6.08,6.53
